"PROBE_ID"	"Symbol"
"429"	"ILMN_1800540"	"CD55"
"430"	"ILMN_1724789"	"CD59"
"431"	"ILMN_2328666"	"CD83"
"432"	"ILMN_1780582"	"CD83"
"433"	"ILMN_2256765"	"CDC16"
"434"	"ILMN_1711005"	"CDC25A"
"435"	"ILMN_1764927"	"CDC42EP1"
"436"	"ILMN_1652777"	"CDC42EP2"
"437"	"ILMN_1736327"	"CDC42EP3"
"438"	"ILMN_1670238"	"CDC45"
"439"	"ILMN_1652907"	"CDC5L"
"440"	"ILMN_1737184"	"CDCA7"
"441"	"ILMN_1672611"	"CDH11"
"442"	"ILMN_1779228"	"CDH2"
"443"	"ILMN_1766675"	"CDH6"
"444"	"ILMN_2171295"	"CDK14"
"445"	"ILMN_2357730"	"CDK20"
"446"	"ILMN_1686804"	"CDK20"
"447"	"ILMN_1730928"	"CDK5R1"
"448"	"ILMN_1802615"	"CDK6"
"449"	"ILMN_1784602"	"CDKN1A"
"450"	"ILMN_2196347"	"CDKN1B"
"451"	"ILMN_1722811"	"CDKN1B"
"452"	"ILMN_2234187"	"CDO1"
"453"	"ILMN_1691418"	"CDRT4"
"454"	"ILMN_1716815"	"CEACAM1"
"455"	"ILMN_1715715"	"CEBPA"
"456"	"ILMN_1782050"	"CEBPD"
"457"	"ILMN_1744147"	"CEBPZ"
"458"	"ILMN_3238740"	"CENPBD1"
"459"	"ILMN_1767662"	"CERS6"
"460"	"ILMN_1774287"	"CFB"
"461"	"ILMN_1707356"	"CFL2"
"462"	"ILMN_2387090"	"CGGBP1"
"463"	"ILMN_1730229"	"CGNL1"
"464"	"ILMN_1681008"	"CGRRF1"
"465"	"ILMN_1741021"	"CH25H"
"466"	"ILMN_2148150"	"CHAC2"
"467"	"ILMN_1744138"	"CHCHD7"
"468"	"ILMN_2324375"	"CHCHD7"
"469"	"ILMN_1658411"	"CHD4"
"470"	"ILMN_1685551"	"CHD4"
"471"	"ILMN_2395240"	"CHEK2"
"472"	"ILMN_2395236"	"CHEK2"
"473"	"ILMN_1658504"	"CHKA"
